연번,사무구분,부서,민원사무명,처리기간
376,"산업,경제",경제정책과,"축산물판매업 등 폐업(휴업,재개업)신고서",즉시
377,"산업,경제",경제정책과,축산물판매업 신고필증 재교부신청,즉시
378,"산업,경제",경제정책과,축산물판매업 등 영업신고사항 변경신고,3일
379,"산업,경제",경제정책과,수산종자생산업 허가신청,5일
380,"산업,경제",경제정책과,어업허가 유예신청,2일
381,"산업,경제",경제정책과,어업허가사항 변경허가,2일
382,"산업,경제",경제정책과,"제조관리자,수입관리자,관리약사변경신고",2일
383,"산업,경제",경제정책과,"어선 개조,개조발주 허가신청",3일
384,"산업,경제",경제정책과,어선등록말소신청,즉시
385,"산업,경제",경제정책과,어선등록(변경)신청,어선등록 : 2일 / 어선변경등록 : 즉시 (선적항 변경등록 : 2일)
386,"산업,경제",경제정책과,어업 허가증(신고어업증명서) 재발급 신청,2일
387,"산업,경제",경제정책과,어업폐업신고,즉시
388,"산업,경제",경제정책과,식육포장처리업(축산물보관업)영업허가신청,8일
389,"산업,경제",경제정책과,식육포장처리업 등 허가증 재교부신청,즉시
390,"산업,경제",경제정책과,동물용 의약품 도매상 허가신청,3일
391,"산업,경제",경제정책과,방문(전화권유)판매업 신고,3일
392,"산업,경제",경제정책과,대규모점포 개설(변경) 등록신청 - 사전심사청구제 대상민원,30일
393,"산업,경제",경제정책과,대규모점포 관리자(변경) 신고,3일
394,"산업,경제",경제정책과,"대리경작자 지정이의,중지,해지 신청",7일
395,"산업,경제",경제정책과,대부업 등록 신청,14일
