법령일련번호,현행연혁코드,법령명한글,법령약칭명,법령ID,공포일자,공포번호,제개정구분명,소관부처코드,소관부처명,법령구분명,공동부령정보,시행일자,자법타법여부,법령상세링크
281323,현행,항만공사법 시행령,,009573,20251230,35947,타법개정,1192000,해양수산부,대통령령,,20260102,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=281323&type=HTML&mobileYn=&efYd=20260102
282713,현행,항만공사법 시행규칙,,009579,20251231,00778,타법개정,1192000,해양수산부,해양수산부령,,20260102,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=282713&type=HTML&mobileYn=&efYd=20260102
259247,현행,항만기술산업의 육성 및 지원에 관한 법률,항만기술산업법,014600,20240123,20135,제정,1192000,해양수산부,법률,,20250124,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=259247&type=HTML&mobileYn=&efYd=20250124
268333,현행,항만기술산업의 육성 및 지원에 관한 법률 시행령,항만기술산업법 시행령,014815,20250121,35226,제정,1192000,해양수산부,대통령령,,20250124,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=268333&type=HTML&mobileYn=&efYd=20250124
268967,현행,항만기술산업의 육성 및 지원에 관한 법률 시행규칙,항만기술산업법 시행규칙,014837,20250204,00721,제정,1192000,해양수산부,해양수산부령,,20250204,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=268967&type=HTML&mobileYn=&efYd=20250204
283707,현행,항만법,,001737,20260227,21415,일부개정,1192000,해양수산부,법률,,20260227,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=283707&type=HTML&mobileYn=&efYd=20260227
287353,현행,항만법 시행령,,005528,20260623,36439,일부개정,1192000,해양수산부,대통령령,,20260701,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=287353&type=HTML&mobileYn=&efYd=20260701
270537,현행,항만법 시행규칙,,008651,20250401,00727,일부개정,1192000,해양수산부,해양수산부령,,20250401,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=270537&type=HTML&mobileYn=&efYd=20250401
245753,현행,항만시설관리권 등록령,,005529,20221206,33036,일부개정,1192000,해양수산부,대통령령,,20230107,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=245753&type=HTML&mobileYn=&efYd=20230107
247881,현행,항만시설관리권 등록령 시행규칙,,008652,20230112,00579,일부개정,1192000,해양수산부,해양수산부령,,20230112,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=247881&type=HTML&mobileYn=&efYd=20230112
233647,현행,항만시설의 기술기준에 관한 규칙,,008654,20210630,00486,타법개정,1192000,해양수산부,해양수산부령,,20210630,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=233647&type=HTML&mobileYn=&efYd=20210630
248771,현행,항만시설장비 관리규칙,,008655,20230310,00592,타법개정,1192000,해양수산부,해양수산부령,,20230310,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=248771&type=HTML&mobileYn=&efYd=20230310
234457,현행,항만안전특별법,,014131,20210803,18369,제정,1192000,해양수산부,법률,,20220804,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=234457&type=HTML&mobileYn=&efYd=20220804
280213,현행,항만안전특별법 시행령,,014323,20251209,35900,일부개정,1192000,해양수산부,대통령령,,20260101,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=280213&type=HTML&mobileYn=&efYd=20260101
244171,현행,항만안전특별법 시행규칙,,014324,20220804,00559,제정,1192000,해양수산부,해양수산부령,,20220804,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=244171&type=HTML&mobileYn=&efYd=20220804
251927,현행,항만운송사업법,,000062,20230620,19501,일부개정,1192000,해양수산부,법률,,20231221,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=251927&type=HTML&mobileYn=&efYd=20231221
256817,현행,항만운송사업법 시행령,,005530,20231212,33954,일부개정,1192000,해양수산부,대통령령,,20231221,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=256817&type=HTML&mobileYn=&efYd=20231221
271379,현행,항만운송사업법 시행규칙,,008656,20250528,00735,일부개정,1192000,해양수산부,해양수산부령,,20250528,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=271379&type=HTML&mobileYn=&efYd=20250528
183706,현행,항만인력공급체제의 개편을 위한 지원특별법,항만인력법,010112,20160529,14246,일부개정,1192000,해양수산부,법률,,20160529,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=183706&type=HTML&mobileYn=&efYd=20160529
278025,현행,항만인력공급체제의 개편을 위한 지원특별법 시행령,항만인력법 시행령,010238,20251001,35811,타법개정,1192000,해양수산부,대통령령,,20251001,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=278025&type=HTML&mobileYn=&efYd=20251001
255871,현행,항만 재개발 및 주변지역 발전에 관한 법률,항만재개발법,013663,20231031,19819,타법개정,1192000,해양수산부,법률,,20250501,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=255871&type=HTML&mobileYn=&efYd=20250501
284909,현행,항만 재개발 및 주변지역 발전에 관한 법률 시행령,항만재개발법 시행령,013815,20260324,36220,타법개정,1192000,해양수산부,대통령령,,20260324,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=284909&type=HTML&mobileYn=&efYd=20260324
265595,현행,항만 재개발 및 주변지역 발전에 관한 법률 시행규칙,항만재개발법 시행규칙,013817,20240927,00695,일부개정,1192000,해양수산부,해양수산부령,,20250501,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=265595&type=HTML&mobileYn=&efYd=20250501
277091,현행,항만지역등 대기질 개선에 관한 특별법,항만대기질법,013459,20251001,21065,타법개정,1192000,해양수산부,법률,,20251001,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=277091&type=HTML&mobileYn=&efYd=20251001
278027,현행,항만지역등 대기질 개선에 관한 특별법 시행령,항만대기질법 시행령,013631,20251001,35811,타법개정,1192000,해양수산부,대통령령,,20251001,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=278027&type=HTML&mobileYn=&efYd=20251001
279413,현행,항만지역등 대기질 개선에 관한 특별법 시행규칙,항만대기질법 시행규칙,013641,20251031,00770,타법개정,1192000,해양수산부,해양수산부령,,20251031,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=279413&type=HTML&mobileYn=&efYd=20251031
197300,현행,해군교육사령부령,,005535,20170905,28266,타법개정,1290000,국방부,대통령령,,20170905,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=197300&type=HTML&mobileYn=&efYd=20170905
209798,현행,해군군수사령부령,,005537,20190702,29950,타법개정,1290000,국방부,대통령령,,20190702,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=209798&type=HTML&mobileYn=&efYd=20190702
259423,현행,해군본부 직제,,005543,20240130,34167,타법개정,1290000,국방부,대통령령,,20240130,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=259423&type=HTML&mobileYn=&efYd=20240130
265533,현행,해군작전사령부령,,005548,20240926,34908,타법개정,1290000,국방부,대통령령,,20240926,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=265533&type=HTML&mobileYn=&efYd=20240926
265535,현행,해군잠수함사령부령,,012202,20240926,34908,타법개정,1290000,국방부,대통령령,,20240926,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=265535&type=HTML&mobileYn=&efYd=20240926
265537,현행,해군함대령,,005550,20240926,34908,타법개정,1290000,국방부,대통령령,,20240926,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=265537&type=HTML&mobileYn=&efYd=20240926
243881,현행,해군항공사령부령,,014309,20220714,32799,제정,1290000,국방부,대통령령,,20220715,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=243881&type=HTML&mobileYn=&efYd=20220715
262611,현행,해병대사령부 직제,,005560,20240514,34504,일부개정,1290000,국방부,대통령령,,20240514,,/DRF/lawService.do?OC=39.127.142.159&target=law&MST=262611&type=HTML&mobileYn=&efYd=20240514
